"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"71";"GM0498    ";"Drechterland                                      ";"Drechterland                                      ";"Noord-Holland                                     "
"72";"GM1719    ";"Drimmelen                                         ";"Drimmelen                                         ";"Noord-Brabant                                     "
"73";"GM0303    ";"Dronten                                           ";"Dronten                                           ";"Flevoland                                         "
"74";"GM0225    ";"Druten                                            ";"Druten                                            ";"Gelderland                                        "
"75";"GM0226    ";"Duiven                                            ";"Duiven                                            ";"Gelderland                                        "
"76";"GM1711    ";"Echt-Susteren                                     ";"Echt+Susteren                                     ";"Limburg                                           "
"77";"GM0385    ";"Edam-Volendam                                     ";"Edam+Volendam                                     ";"Noord-Holland                                     "
"78";"GM0228    ";"Ede                                               ";"Ede                                               ";"Gelderland                                        "
"79";"GM0317    ";"Eemnes                                            ";"Eemnes                                            ";"Utrecht                                           "
"80";"GM1979    ";"Eemsdelta                                         ";"Eemsdelta                                         ";"Groningen                                         "
"81";"GM0770    ";"Eersel                                            ";"Eersel                                            ";"Noord-Brabant                                     "
"82";"GM1903    ";"Eijsden-Margraten                                 ";"Eijsden+Margraten                                 ";"Limburg                                           "
"83";"GM0772    ";"Eindhoven                                         ";"Eindhoven                                         ";"Noord-Brabant                                     "
"84";"GM0230    ";"Elburg                                            ";"Elburg                                            ";"Gelderland                                        "
"85";"GM0114    ";"Emmen                                             ";"Emmen                                             ";"Drenthe                                           "
"86";"GM0388    ";"Enkhuizen                                         ";"Enkhuizen                                         ";"Noord-Holland                                     "
"87";"GM0153    ";"Enschede                                          ";"Enschede                                          ";"Overijssel                                        "
"88";"GM0232    ";"Epe                                               ";"Epe                                               ";"Gelderland                                        "
"89";"GM0233    ";"Ermelo                                            ";"Ermelo                                            ";"Gelderland                                        "
"90";"GM0777    ";"Etten-Leur                                        ";"Etten+Leur                                        ";"Noord-Brabant                                     "
"91";"GM1940    ";"De Fryske Marren                                  ";"Fryske Marren De                                  ";"Fryslân                                           "
"92";"GM0779    ";"Geertruidenberg                                   ";"Geertruidenberg                                   ";"Noord-Brabant                                     "
"93";"GM1771    ";"Geldrop-Mierlo                                    ";"Geldrop+Mierlo                                    ";"Noord-Brabant                                     "
"94";"GM1652    ";"Gemert-Bakel                                      ";"Gemert+Bakel                                      ";"Noord-Brabant                                     "
"95";"GM0907    ";"Gennep                                            ";"Gennep                                            ";"Limburg                                           "
"96";"GM0784    ";"Gilze en Rijen                                    ";"Gilze en Rijen                                    ";"Noord-Brabant                                     "
"97";"GM1924    ";"Goeree-Overflakkee                                ";"Goeree+Overflakkee                                ";"Zuid-Holland                                      "
"98";"GM0664    ";"Goes                                              ";"Goes                                              ";"Zeeland                                           "
"99";"GM0785    ";"Goirle                                            ";"Goirle                                            ";"Noord-Brabant                                     "
"100";"GM1942    ";"Gooise Meren                                      ";"Gooise Meren                                      ";"Noord-Holland                                     "
"101";"GM0512    ";"Gorinchem                                         ";"Gorinchem                                         ";"Zuid-Holland                                      "
"102";"GM0513    ";"Gouda                                             ";"Gouda                                             ";"Zuid-Holland                                      "
"103";"GM0518    ";"'s-Gravenhage                                     ";"Gravenhage 's-                                    ";"Zuid-Holland                                      "
"104";"GM0014    ";"Groningen                                         ";"Groningen                                         ";"Groningen                                         "
"105";"GM1729    ";"Gulpen-Wittem                                     ";"Gulpen+Wittem                                     ";"Limburg                                           "
"106";"GM0158    ";"Haaksbergen                                       ";"Haaksbergen                                       ";"Overijssel                                        "
"107";"GM0392    ";"Haarlem                                           ";"Haarlem                                           ";"Noord-Holland                                     "
"108";"GM0394    ";"Haarlemmermeer                                    ";"Haarlemmermeer                                    ";"Noord-Holland                                     "
"109";"GM1655    ";"Halderberge                                       ";"Halderberge                                       ";"Noord-Brabant                                     "
"110";"GM0160    ";"Hardenberg                                        ";"Hardenberg                                        ";"Overijssel                                        "
"111";"GM0243    ";"Harderwijk                                        ";"Harderwijk                                        ";"Gelderland                                        "
"112";"GM0523    ";"Hardinxveld-Giessendam                            ";"Hardinxveld+Giessendam                            ";"Zuid-Holland                                      "
"113";"GM0072    ";"Harlingen                                         ";"Harlingen                                         ";"Fryslân                                           "
"114";"GM0244    ";"Hattem                                            ";"Hattem                                            ";"Gelderland                                        "
